,title,lyrics,time_public
0,突然好想你,突然好想你 - 五月天 (Mayday) 词：阿信 曲：阿信 最怕空气突然安静 最怕朋友突然的关心 最怕回忆突然翻滚绞痛着不平息 最怕突然听到你的消息 想念如果会有声音 不愿那是悲伤的哭泣 事到如今终于让自己属于我自己 只剩眼泪还骗不过自己 突然好想你你会在哪里 过得快乐或委屈 突然好想你突然锋利的回忆 突然模糊的眼睛 我们像一首最美丽的歌曲 变成两部悲伤的电影 为什么你带我走过最难忘的旅行 然后留下最痛的纪念品 我们那么甜那么美那么相信 那么疯那么热烈的曾经 为何我们还是要 奔向各自的幸福和遗憾中老去 突然好想你你会在哪里 过得快乐或委屈 突然好想你突然锋利的回忆 突然模糊的眼睛 最怕空气突然安静 最怕朋友突然的关心 最怕回忆突然翻滚绞痛着不平息 最怕突然听到你的消息 最怕此生已经决心自己过没有你 却又突然听到你的消息,2008-10-23
1,后来的我们,后来的我们 - 五月天 (Mayday) 词：阿信 曲：怪兽 然后呢 他们说你的心似乎痊愈了 也开始有个人为你守护着 我该心安或是心痛呢 然后呢 其实我的日子也还可以呢 除了回忆肆虐的某些时刻 庆幸还有眼泪冲淡苦涩 而那些昨日依然缤纷着 它们都有我细心收藏着 也许你还记得也许你都忘了 也不是那么重要了 只期待后来的你能快乐 那就是后来的我最想的 后来的我们依然走着 只是不再并肩了 朝各自的人生追寻了 无论是后来故事怎么了 也要让后来人生精彩着 后来的我们我期待着 泪水中能看到你真的自由了 亲爱的 回忆我们共同走过的曲折 是那些带我们来到了这一刻 让珍贵的人生有失有得 用新的幸福把遗憾包着 就这么朝着未来前进了 有再多的不舍也要狠心割舍 别回头看我亲爱的 只期待后来的你能快乐 那就是后来的我最想的 后来的我们依然走着 只是不再并肩了 朝各自的人生追寻了 无论是后来故事怎么了 也要让后来人生精彩着 后来的我们我期待着 泪水中能看到你真的幸福快乐 在某处另一个你留下了 在那里另一个我微笑着 另一个我们还深爱着 代替我们永恒着 如果能这么想就够了 无论是后来故事怎么了 也要让后来人生值得 后来的我们我期待着 泪水中能看到你真的自由了,2016-07-21
2,步步,步步 - 五月天 (Mayday) 词：阿信 曲：阿信/Cola 空无一人的大街 闯入无人婚纱店 为你披上雪白誓言 世界已灰飞烟灭 而爱矗立高楼间 你是真的 或是我的 幻觉 时光遗忘的背面 独坐残破的台阶 哪个乱世没有离别 天空和我的中间 只剩倾盆的思念 如果相识 不能相恋 是不是还不如擦肩 在失去你的风景里面 你却占据了每一条街 一步步曾经 一步步想念 在脚下蔓延 在充满你的回忆里面 我独自流浪海角天边 一步步走过 当时心愿 格林威治大钟前 归零超载的伤悲 背着我和我的诺言 一起计划的路线 对照孤单的旅店 一声晚安 却又唤醒 泪腺 时代广场的跨年 颐和花季的蓝天 数着愿望在你指尖 当时有多少心愿 就有多少的残缺 如果后悔 不能后退 是不是就只能往前 在失去你的风景里面 你却占据了每一条街 一步步曾经 一步步想念 在脚下蔓延 在充满你的回忆里面 我独自流浪海角天边 一步步走过 当时心愿 生如浮萍般卑微 爱却苍穹般壮烈 我要为你爬上最险山岳 走过最崎岖眷恋 一步一步穿越 在失去你的风景里面 你却占据了整个世界 每一张相片 每一个房间 每一滴眼泪 在充满你的回忆里面 我独自一人和眼泪周旋 一步步走向 孤单的明天 也许在来生的 某个明天 我们能再写 新的情节 一步步完成 当时心愿 一步步完成 最美残缺,2013-12-30
3,玫瑰少年,玫瑰少年 - 五月天 词：阿信/蔡依林 曲：剃刀蒋/蔡依林 制作：五月天 编曲：赖暐哲/五月天 乐器演奏：五月天 钢琴/合成器演奏：赖暐哲 弦乐编写：赖暐哲 弦乐监制：蔡曜宇 弦乐 Strings：曜爆甘音乐工作室 第一小提琴 First Violin：蔡曜宇/陈泱瑾/骆思云/陈奕勇 第二小提琴 Second Violin：卢思蒨/朱奕宁/黄雨柔/黄瑾诤 中提琴 Viola：甘威鹏/牟启东/张仁豪 大提琴 Cello：刘涵 （隐分子）/叶欲新 弦乐录音师：林尚伯 弦乐录音室：强力录音室 和声编写：张胜凯 和声演唱：邹謦蓬 录/混音：黄士杰 @五月天录音室 制作助理：江昆余/詹宏业 谁把谁的灵魂 装进谁的身体 谁把谁的身体 变成囹圄囚禁自己 乱世总是最 不缺耳语 哪种美丽会 换来妒忌 你并没有罪 有罪是这世界 生而为人无罪 你不需要抱歉 One day I will be you baby boy and you gon'be me 喧哗如果不停 让我陪你安静 I wish I could hug you till you're really really being free 哪朵玫瑰没有荆棘 最好的 报复是 美丽 最美的 盛开是 反击 别让谁去 改变了你 你是你 或是妳 都行 会有人 全心的 爱你 试着想像 you switched to his body Sexuality 当心什么会伤你 多少次的重伤 多少次的冷语 Drowning 谁会拉你 Dreaming 谁会陪你 Same s**t happens every day 你离开后 世界可改变 多少无知罪愆 事过不境迁 永志不忘纪念 往事不如烟 生而为人无罪 你不需要抱歉 One day I will be you baby boy and you gon'be me 喧哗如果不停 让我陪你安静 I wish I could hug you till you're really really being free 哪朵玫瑰没有荆棘 最好的 报复是 美丽 最美的 盛开是 反击 别让谁去 改变了你 你是你 或是妳 都行 会有人 全心的 爱你 玫瑰少年 在我心里 绽放着 鲜艳的 传奇 我们都 从来没 忘记 你的控诉 没有声音 却倾诉 更多的 真理 却唤醒 无数的 真心 哪朵玫瑰没有荆棘 最好的 报复是 美丽 最美的 盛开是 反击 别让谁去 改变了你 你是你 或是妳 都行 会有人 全心的 爱你 玫瑰少年 在我心里 玫瑰少年 在我心里,2019-08-08
4,我不愿 让你一个人,我不愿 让你一个人 - 五月天 (Mayday) 词：阿信 曲：冠佑/阿信 你说呢 明知你不在还是会问 空气却不能代替你出声 习惯像永不愈合的固执伤痕 一思念就撕裂灵魂 把相片让你能保存多洗一本 毛衣也为你准备多一层 但是 你孤单时刻 安慰的体温 怎么为你多留一份 我不愿让你一个人 一个人在人海浮沉 我不愿 你独自走过 风雨的时分 我不愿让你一个人 承受这世界的残忍 我不愿眼泪陪你到永恒 你走后 爱情的遗迹像是空城 遗落你杯子手套和笑声 最后你只带走你脆弱和单纯 和我最放不下的人 也许未来你会找到懂你疼你更好的人 下段旅程 你一定要更幸福丰盛 我不愿让你一个人 一个人在人海浮沉 我不愿 你独自走过 风雨的时分 我不愿让你一个人 承受这世界的残忍 我不愿眼泪陪你到永恒 你说呢 明知你不在还是会问 只因习惯你满足的眼神 只是我最后一个奢求的可能 只求你有快乐人生 只求命运带你去一段全新的旅程 往幸福的天涯飞奔 别回头 就往前飞奔 请忘了我 还一个人,2011-12-16
5,你不是真正的快乐,你不是真正的快乐 - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：五月天 人群中哭着 你只想变成透明的颜色 你再也不会梦或痛或心动了 你已经决定了你已经决定了 你静静忍着 紧紧把昨天在拳心握着 而回忆越是甜 就是越伤人了越是在手心留下 密密麻麻深深浅浅的刀割 你不是真正的快乐 你的笑只是你穿的保护色 你决定不恨了 也决定不爱了 把你的灵魂关在永远 锁上的躯壳 这世界笑了 于是你合群的一起笑了 当生存是规则 不是你的选择 于是你含着眼泪 飘飘荡荡 跌跌撞撞地走着 你不是真正的快乐 你的笑只是你穿的保护色 你决定不恨了 也决定不爱了 把你的灵魂关在永远 锁上的躯壳 你不是真正的快乐 你的伤从不肯完全的愈合 我站在你左侧 却像隔着银河 难道就真的抱着 遗憾一直到老了 然后才后悔着 你不是真正的快乐 你的笑只是你穿的保护色 你决定不恨了 也决定不爱了 把你的灵魂关在永远 锁上的躯壳 你不是真正的快乐 你的伤从不肯完全的愈合 我站在你左侧 却像隔着银河 难道就真的抱着遗憾 一直到老了 你值得真正的快乐 你应该脱下你穿的保护色 为什么失去了 还要被惩罚呢 能不能就让悲伤全部 结束在此刻 重新开始活着,2008-10-23
6,知足,知足 - 五月天 (Mayday) 词：阿信 曲：阿信 怎么去拥有一道彩虹 怎么去拥抱一夏天的风 天上的星星笑地上的人 总是不能懂不能觉得足够 如果我爱上你的笑容 要怎么收藏要怎么拥有 如果你快乐不是为我 会不会放手其实才是拥有 当一阵风吹来风筝飞上天空 为了你而祈祷而祝福而感动 终于你身影消失在人海尽头 才发现笑着哭最痛 那天你和我那个山丘 那样的唱着那一年的歌 那样的回忆那么足够 足够我天天都品尝着寂寞 当一阵风吹来风筝飞上天空 为了你而祈祷而祝福而感动 终于你身影消失在人海尽头 才发现笑着哭最痛 当一阵风吹来风筝飞上天空 为了你而祈祷而祝福而感动 终于你身影消失在人海尽头 才发现笑着哭最痛 wo 如果我爱上你的笑容 要怎么收藏要怎么拥有 如果你快乐再不是为我 会不会放手其实才是拥有 知足的快乐叫我忍受心痛 知足的快乐叫我忍受心痛,2005-08-26
7,倔强,倔强 - 五月天 (Mayday) 词：阿信 曲：阿信 当 我和世界不一样 那就让我不一样 坚持对我来说 就是以刚克刚 我 如果对自己妥协 如果对自己说谎 即使别人原谅 我也不能原谅 最美的愿望 一定最疯狂 我就是我自己的神 在我活的地方 我和我最后的倔强 握紧双手绝对不放 下一站是不是天堂 就算失望不能绝望 我和我骄傲的倔强 我在风中大声的唱 这一次为自己疯狂 就这一次 我和我的倔强 对 爱我的人别紧张 我的固执很善良 我的手越肮脏 眼神越是发光 你 不在乎我的过往 看到了我的翅膀 你说被火烧过 才能出现凤凰 逆风的方向 更适合飞翔 我不怕千万人阻挡 只怕自己投降 我和我最后的倔强 握紧双手绝对不放 下一站是不是天堂 就算失望不能绝望 我和我骄傲的倔强 我在风中大声的唱 这一次为自己疯狂 就这一次 我和我的倔强 我和我最后的倔强 握紧双手绝对不放 下一站是不是天堂 就算失望不能绝望 我和我骄傲的倔强 我在风中大声的唱 这一次为自己疯狂 就这一次 我和我的倔强 就这一次 让我大声唱 啦啦啦啦啦啦啦啦 啦啦啦啦啦啦啦啦 啦啦啦啦啦啦啦啦 就算失望 不能绝望 啦啦啦啦啦啦啦啦 啦啦啦啦啦啦啦啦 啦啦啦啦啦啦啦啦 就这一次 我和我的倔强,2004-11-05
8,温柔,温柔 - 五月天 (Mayday) 词：阿信 曲：阿信 编曲：五月天 走在风中今天阳光 突然好温柔 天的温柔 地的温柔 像你抱着我 然后发现你的改变 孤单的今后 如果冷 该怎么度过 天边风光身边的我 都不在你眼中 你的眼中藏着什么 我从来都不懂 没有关系你的世界 就让你拥有 不打扰 是我的温柔 不知道不明了不想要 为什么我的心 明明是想靠近 却孤单到黎明 不知道不明了不想要 为什么我的心 那爱情的绮丽 总是在孤单里 再把我的最好的爱给你 不知不觉不情不愿 又到巷子口 我没有哭也没有笑 因为这是梦 没有预兆没有理由 你真的有说过 如果有 就让你自由 不知道不明了不想要 为什么我的心 明明是想靠近 却孤单到黎明 不知道不明了不想要 为什么我的心 那爱情的绮丽 总是在孤单里 再把我的最好的爱给你 不知不觉不情不愿 又到巷子口 我没有哭也没有笑 因为这是梦 没有预兆没有理由 你真的有说过 如果有 就让你自由 自由 这是我的温柔 这是我的温柔 这是我的温柔 这是我的温柔 让你自由,2000-07-07
9,因为你 所以我,因为你 所以我 - 五月天 (Mayday) 词：五月天阿信 曲：五月天阿信 人群 烟火 香槟和气球 是你 带我 从派对逃走 逃离 人间 耳语和骚动 这里 只有 你我和星空 你是 何时 静静靠近我 你是 何时 偷偷拯救我 在我 掌心 放了 一颗糖果 人类 为何 都爱看天空 背上 却都 有一对伤口 生在 这个 凡人的星球 是否 不配 作天使的梦 你将 你的 翅膀给了我 带我 穿越 狼群和镜头 让我 能够 品尝 片刻自由 因为你 所以我 爱上那 片天空 天空下 我在祈求 那是你 牵着我 最深刻 的故事 最永恒 的传说 不过 是你 是我 能够 平凡生活 人生 只是 须臾的刹那 人间 只是 天地的夹缝 人们 何苦 要活成修罗 活在 执着 对错的牢笼 是你 帮我 停下了沙漏 是你 教我 别害怕闯祸 是你 让我 活得 与众不同 因为你 所以我 爱上那 片天空 天空下 我在祈求 那是你 牵着我 最深刻 的故事 最永恒 的传说 不过 是你 是我 能够 平凡生活 因为你 所以我 所以我 不退缩 再不愿 这一生中 有遗憾 不反驳 不再听 别人说 不在乎 谁能懂 只因 世界 再大 不过 你和我 用最小回忆 堆成宇宙 因为你 所以我 爱上那 片天空 天空下 我在祈求 那是你 牵着我 最深刻 的故事 最永恒 的传说 不过 是你 是我 能够 平凡生活 因为你 所以我 所以我 不退缩 再不愿 这一生中 有遗憾 不反驳 不再听 别人说 不在乎 谁能懂 只因 世界 再大 不过 你和我 用最小回忆 堆成宇宙,2020-12-25
