,title,view,favorite,coin,share,like
0,数据产品经理的工作职责是什么？,1278,98,18,11,38
1,2024新的风口，目前900块一小时，停止内耗，，为自己打工！！！！！,619,29,1,16,14
2,转行产品 B端产品 绘制原型和写需求说明17个注意事项!,826,71,8,5,26
3,每天在B站看电影1个小时，15天赚了16821，一个月收入3.8w，适合没口才的小白做，详细教程分享！,384,12,6,2,31
4,PPT目录页这样做太绝了,22451,2274,118,172,1286
5,短剧推广免费授权，保姆级教程！,389,33,12,13,26
6,人人都是项目经理——项目管理思维训练营（全六讲）,204,24,0,1,3
7,入行就后悔！这种骗人的新媒体运营岗千万别去,755,22,0,0,16
8,《企业名称登记管理规定实施办法》视频解读,3,1,0,0,1
9,每天在b站抄书 一小时，30天2.3w左右，操作简单 分享经验，与实际操  作过程程！！,61,15,6,24,13
10,职场老黄牛的负重前行，换来了王自如等人的岁月静好,31798,230,185,104,2259
11,"2024新的风口，,目前300块一小时,，停止内耗，,为自己打工！！",34,12,5,6,10
12,【副业合集】假如有一天你失业了，请收好这60个日入500+的副业网站，或许能帮你摆脱现状。,14861,1400,124,90,576
13,【剪映教程】B站最良心的2023剪映电脑+手机版全套教程（适合零基础小白学习）,194,49,31,8,49
14,一分钟看完大厂常用术语,157,3,2,3,6
15,加入陆哥团队的符合什么条件。,13860,201,19,5,765
16,用stream对map按键或值进行排序,3850,165,25,8,90
17,新手开拼多多的完整流程步骤,108,1,0,0,1
18,前两天阿里云才崩完，这次滴滴又奔溃了，大家怎么都在幸灾乐祸？,11648,59,112,4,1833
19,面试程序员鱼皮！从知识分享到辞职创业，未来如何规划,106850,610,353,117,1969
20,这5个免费看电影网站，真的别再傻傻开会员了，5大高清的电影网站，我不说 你绝对不知道，建议收藏起来~,496,20,11,0,19
21,年近40，分手、大厂裸辞、考上剑桥！我用全力换个活法~只要你想，什么时候开始都不晚。,299780,3379,1298,877,5709
22,【小说推文】一天收入12596，用AI制作漫画小说推文视频，3分钟生成，手把手教你制作~~,2292,30,13,2,24
23,八个成年人必备资源网站！个个都是宝藏，你值得收藏！网站资源视频电影白嫖资源漫画资源动漫下载库分享~,17006,230,192,4,202
24,用手机听歌就能赚钱，一天600+，适合没口才的小白做，方法分享给大家方法分享给大家,605,26,12,62,9
25,用AI生成电影解说视频，半年狂赚43W！只要找对方法，其实富起来也就这两年！,837,102,19,6,47
26,关苏哲·用提问30讲激发团队高绩效,212,3,0,0,0
27,中视频靠复制粘贴月入18000，复制粘贴也能做好中视频计划，最新教程来啦！！！,1022,20,24,4,26
28,现场视频！#我国成功发射卫星互联网技术试验卫星  （曹译、李宸、安迪、瞿良）,5726,26,16,5,1447
29,小红书虚拟资料项目，一个没有成本并且可以发展代理的项目，全套玩法拆解。,1005,43,6,10,23
30,产品经理必会项目：供应链？ERP？进销存？采购项目？,1681,191,8,4,41
31,2024新的风口，目前900块一小时，停止内耗，，为自己打工！,215,15,0,4,14
32,剪映给我发工资了！剪辑视频每天收入500到800，无偿分享完整版细节！,414,34,6,2,16
33,从男护士到编剧到拍摄剪辑到导演到运营,46629,1455,365,123,2908
34,漫画三分钟讲透Linux内核,123,4,1,2,5
35,应届生接offer要问清什么？别再只看薪资啦！（上）,8450,386,122,46,294
36,电商人の所有结局【内附】求职路径规划,2598,93,78,27,148
37,2024新的风口，目前900块一小时，停止内耗，，为自己打工！,54,11,0,4,9
38,单店月入2万，小红书无货源电商实战全流程演示项目拆解,944,79,39,28,44
39,【副业合集】只工作不上班！每日收入500多，分享15个居家办公的工作，0基础转行必备！！,38,16,10,0,12
40,每天在B站看电影一个小时，15天到手2.4w，适合不爱社交的小白做，详细教程分享！,120,106,13,85,26
41,【技术唠嗑】坏消息：八股文是版本陷阱，好消息：陷的是老板,101172,1260,1155,811,2774
42,【技术唠嗑】坏消息：八股文是版本陷阱，好消息：陷的是老板,101172,1260,1155,811,2774
43,听我的，必须干掉中台！,367991,5856,6293,5316,12127
44,八个成年人 必备资源网站，个个都是宝藏，你值得收藏！,428,21,11,0,23
45,在b站无脑听歌赚钱，昨天收益745.16，0成本人人都 能做！我的经验分享！,11,13,0,7,10
46,浅谈关于如何找运维方面相关实习。(大家一定大胆投，运气也是一部分）,111,1,0,0,3
47,未来，可能人人都在“创业”,516,31,14,0,24
48,大胆预测！小红书即将发财的周边行业！做第一批吃螃蟹的人！！！,65771,4072,191,263,3036
49,亚马逊新品推广完整攻略-MoonSees跨境电商,57,3,0,0,1
50,情报收集不再难之子域名信息收集-5,14,1,0,0,3
51,如何保证项目能撑到下一轮投资进来？创业导师不会说的内幕下集 | LI道长的世界观25,11844,413,1221,63,1203
52,详细聊下毕业之后怎么做职业规划,43022,2706,852,551,2040
53,UP主挑战大厂自媒体岗笔试题，结果全军覆没？,1152433,9715,10059,6635,53095
54,抖音最火沙雕动画制作，一个月赚了8w多，5分钟教会你详细教程，沙雕动画视频用什么软件制作比较好？,1046,51,27,4,38
