,title,view,favorite,coin,share,like
0,考公失败后，听家人话备考事业编，感觉轻轻松松就上了岸，爸妈笑得合不拢嘴！,991,7,0,1,8
1,三年不上班，我在家全职考公考编，从24:1考到200:1的日子……,406231,2091,309,883,2869
2,【写作技巧】如果你愿意一层一层一层地剥开我的心......,25798,2355,157,85,1083
3,2024黑龙江省考行测系统班,928,65,12,3,20
4,内卷并不可怕，信息闭塞真的很致命！如果你正在备考公务员，一定要趁早打破信息差！,89799,13634,1607,931,4969
5,2024 袁东申论领跑营刷题提升班,1491,97,2,6,18
6,00后应届生上岸黄委会，我发现黄委会是事业单位最容易上岸的岗位！,13731,30,2,39,42
7,事业单位面试遇到不会的题，要及时开启临场发挥，小心成为廉价炮灰！,224,5,0,1,6
8,内卷并不可怕，信息闭塞最致命！什么都不懂，就别说参加24省考了......,192,25,4,18,51
9,加强削弱《行测》进阶课——正道沧桑,105450,7525,5987,811,4571
10,考公人深夜慎点！怕你刷题到天亮,581,34,4,1,17
11,如果你有手机，请务必将这些考公APP焊死上去！我愿称为备考神器！请大数据推给所有考公人！,13394,1186,188,100,611
12,公考常青树！历年公考多次被提及的重磅考点“四下基层”近日又被频繁提及？！国省考考点万用模板,11336,698,78,116,501
13,00后进单位躺平，被边缘化，现在过得如何？,32030,64,9,27,246
14,辅警招聘笔试全内容系统课，全网独一家做怎么详细的丨公安基础知识、职业素养、业务能力、法律基础知识丨公安辅警（全国适用，附带讲义）,63903,2503,1083,842,1209
15,笑哭😂24年公务员考重点才178页，自学20天够了！,67192,3489,2941,124,4042
16,25岁远离一线城市，上岸东北小县城事业编,99274,1111,3464,773,6118
17,2024年江苏省考数量关系真题详讲，录视频15分钟剪辑半小时。早知道重新录了。,5364,96,29,15,70
18,上岸三年过来人忠告：离开体制内？你再想想吧！,27339,225,133,26,538
19,不愧是国家出品，免费又靠谱的9大公考app，简直就是考公人的灵魂伴侣....,1082,103,14,55,158
20,【广选省考必看】不会就你没看过广东省政府工作报告？康德老师一次性讲给你！广东省政府工作报告精细讲（四））,3447,211,50,19,95
21,会说话的人到底有多厉害，看看八面玲珑的说话之道你就知道了～,111476,732,87,57,6814
22,“四下基层”这个内容有点难理解，但对于考公的同学，尤其是公务员要注意了！,5834,267,57,39,227
23,【一个脑洞】吾有一计，可解国考申论老年人就业之难！,5492,107,105,18,222
24,2024年浙江省考真题逻辑填空（中）#行测 #浙江省考 #公考#言语理解,120,1,0,0,3
