,title,view,favorite,coin,share,like
0,2024新的风口，目前900块一小时，停止内耗，，为自己打工！！！！！,619,29,1,16,14
1,跪求你们做电商别再去1688拿货了，90%都是经销商！看看这些拿货的地方！看完了直接躺平了,165,24,2,9,82
2,如果你真的讨厌上班，可以看看这个。,13276,820,41,63,662
3,打工收入的误区,953,13,2,2,38
4,公司买车的利弊,7701,278,49,59,485
5,【小红书开店企划】97年专科毕业，一年收入63.7w，代价是拒绝所有社交，开挂的人生有多爽！,304,28,10,9,26
6,这三个生意打死都不能碰，不然耶稣都救不了你。#认知#商业思维 #赚钱#创业,12521,2054,55,3,362
7,"2024新的风口，,目前300块一小时,，停止内耗，,为自己打工！！",34,12,5,6,10
8,【副业合集】假如有一天你失业了，请收好这60个日入500+的副业网站，或许能帮你摆脱现状。,14861,1400,124,90,576
9,值此大变局动乱之秋，为什么要积极参与自媒体，身体力行弘扬爱国,689,12,6,2,37
10,副业半年收入56w，代价是拒绝所有社交，稳定后每天1500+，代价是拒绝所有社交，其实富起来也就一两年,642,38,14,101,29
11,设计师集体创业到底有多爽（忙）（累）！,2122,53,11,14,121
12,苦是人生的常态，但不要变成你人生的终态,13581,360,137,99,983
13,创业失踪4个月，我破产还是发财了,14198,260,124,51,677
14,普通人做生意，底层逻辑，起家的3个破局之法,102912,6518,1442,590,4073
15,创业成功的人，大多有这3个特质,26303,546,321,152,925
16,【聪明钱策略】订单流的概念和入场策略,193,11,1,1,4
17,如何敲打多次询价，却不下单的客户？,602,14,7,2,21
18,马云容人犯错的胸怀值得所有领导者学习,997,18,4,1,25
19,“在集体的灾难面前，连抵押房子贷款都要排队。”于淼是十几家餐厅的老板，也是知名餐饮企业的高管,1511293,22159,20332,6902,54461
20,全网2023小红书最新最全运营知识干货,48870,5904,566,480,1919
21,2024 新风口， 利润大到吓人的小生意， 停止内耗！！为自己打 工 ！！ 方法简单 人人可做 ！！！,68,13,0,7,10
22,当我们开启商业之旅之后面临的选择,11167,236,151,63,365
23,张萌《个人品牌训练营》打造个人IP,667,163,2,4,14
24,八筒：“从时薪5块，到日入5位数，我用了5年”,47907,1045,257,299,1054
25,【运营干货】拼多多直通车的投产要开到多少才是最挣钱最烧得动的？很多商家朋友都不清楚，甚至每天花了钱开车，到最后都不知道这到底是赚了还是赔了，一起来学习下吧,714,76,8,47,273
26,2024新的风口，目前900块一小时，停止内耗，，为自己打工！,215,15,0,4,14
27,自媒体创业第四天，最近很多小伙伴都问具体怎么做，我都整理出来啦！！！,18196,1150,183,60,585
28,自媒体赚钱其实没有秘密，就是极致模仿。,11039,1129,143,79,738
29,2024新的风口，目前900块一小时，停止内耗，，为自己打工！,54,11,0,4,9
30,图文带货怎么做？价值3980的教程免费分享！新手可做，抖音图文带货保姆级教程攻略,4101,209,163,29,176
31,我是常州人，机加工创业第三年,2526,10,10,2,36
32,北理毕业，深圳创业年入百万，买房结婚生娃一气呵成,25375,310,46,66,258
33,义乌大佬告诉你，跨境电商多暴利！现已搬居美国，百万豪车已成代步车！,121,5,4,0,8
34,未来，可能人人都在“创业”,516,31,14,0,24
35,凡成大事者，都要经历六个层级，你知道有哪些吗？,4656,206,22,10,235
36,创业计划书ppt word 排版模板 类型多 可自由选择,12,2,0,1,1
37,零食带货新玩法，5分钟一条原创视频，新手小白单号月入4000+,127,6,2,1,2
38,大胆预测！小红书即将发财的周边行业！做第一批吃螃蟹的人！！！,65771,4072,191,263,3036
39,亚马逊新品推广完整攻略-MoonSees跨境电商,57,3,0,0,1
40,如何保证项目能撑到下一轮投资进来？创业导师不会说的内幕下集 | LI道长的世界观25,11844,413,1221,63,1203
41,创业无门槛搬砖项目玩法，无脑搬运复制单号月入1500+，矩阵操作收益更高（2）,138,3,0,0,0
42,创业无门槛搬砖项目玩法，无脑搬运复制单号月入1500+，矩阵操作收益更高（2）,138,3,0,0,0
43,经历三次转行成为塔罗师，我终于找到了自己的价值 | 和100位女性聊天&CC（上）,3879,92,42,29,166
44,1-00 财务知识体系：成体系的学财务，看这一档节目就够了,3638,328,19,11,128
45,【李十一工作室】视频已打包，欢迎围观！,4482,41,2,6,78
46,语言组织能力强的人，真的很吸粉,513261,25660,3315,779,44319
47,"2024 很吃香的 行业，停 止内 耗,为自己打工！",1520,36,12,107,26
