,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like
0,solidworks怎么打开丢失原零件的工程图，学会这招再也不愁了，效率翻倍,1595,40,4,1,26,跨境电商Shopee虾皮如何优化商品Listing(标题，主图，描述），才能加速测款和爆单,186,2,0,1,0,Excel方便快捷键掌握快捷键提高工作效率,124,2,0,0,0,面试高分技巧，答得越全失分越多,1246,16,6,3,66,💯让领导欣赏的10个沟通技巧,7,1,0,0,0,外贸沟通技巧 | 无法如期交货，怎样沟通？ | 外贸销售客户沟通,1032,18,7,0,39,excel技能：宏遍电脑设置，使用更丝滑,279,7,4,0,3,01.IROOTBP的存放技巧，生料带闭,110,2,2,0,7,如何快速涨粉？如何给观众一个关注你的理由？（第152期）,263.0,2.0,0.0,0.0,6.0
1,Excel别再手动添加边框线了，学会这招，自动填充！,17792,1001,71,44,593,通过OFFSET函数隔行提取数据，这个技巧太实用,2065,140,15,16,82,Excel一键美化表格，一键求和！,653,10,4,5,16,<8>Excel快速移动到表格顶/底部——1分钟办公小技巧,1036,18,6,3,10,套话水平特高的人，一句话套出背后真相。#套话万能公式 #沟通技巧 #经验分享,2473,77,3,1,38,像专业人士一样拍摄多机位采访和播客  | 3 个基本技巧,3933,578,39,14,178,这6个外贸工具你真的还不知道嘛？赶紧来试试吧,289,14,0,3,6,掌握工作汇报方法，提升职场核心竞争力—小白HR实操课堂55,193,9,2,1,8,6.PitStop胶装也可以玩玩,246.0,1.0,0.0,1.0,5.0
2,教师资格证笔试·作文技巧点拨,12220,996,108,74,447,Excel高级筛选如何快速核对两张表格差异？,876,59,2,9,15,【两个月惊艳所有人】69集带你从小白蜕变成剪辑大神，影视后期大佬教你轻松变现！<内含所有剪映剪辑技巧>,8124,687,58,57,188,未来三年很吃香的行业，目前300一小时，95%的人都不知道！分享我的详细流程！,1018,24,17,2,21,高情商女人会说话：36种话术技巧，做谈吐自如的幸福女人（共42节）,975,70,0,8,19,通宵搬运国外视频到b站，28天收益49682，分享实操方法！,6755,264,104,21,161,动画师面试中会问到的问题和技巧,1365,88,47,1,89,716团队蓝小雨答疑：经常被客户拒绝怎么办？,46,1,0,0,1,制作医学汇报PPT封面的技巧,795.0,37.0,7.0,1.0,17.0
3,【教程】PPT教程 | PPT高手之路，零基础做出高逼格PPT，免费PPT设计制作技巧教学,2364,246,9,18,60,技巧分享12-快速制作倒地动画,871,40,25,0,43,四种对齐技巧,2369,107,0,6,97,设计师填写项目需求清单技巧,209,4,4,1,4,怎么改变讨好型人格，教你个心理学技巧,102416,4978,1880,658,6649,【模板048】5步制作项目任务切换功能|同时管理10个项目|100多个任务同时进行|一键切换项目任务|Excel多项目多任务管理表|甘特图表|超级表+切片器,18509,1427,323,64,487,实用去水印操作技巧 case1：大面积文字,141,2,0,1,4,表达能力差，不知道说什么，说了别人又听不懂，不好意思说，这些就是你表达力差的根本原因，想解决，三招帮你搞定！,89,2,0,0,0,Mari 节点图工具与技巧：2. Warp翘曲节点 | 中文教程,184.0,5.0,0.0,0.0,3.0
4,考前蒙题技巧，让你再提高5分！,322,5,3,1,12,如何提升审核能力,582,44,9,1,18,职场技巧-为什么别人跟你聊几句就知道你很老实？,165561,685,24,51,1485,ppt快速删除文本框,1804,5,1,0,21,CAD快速修改直线长度的两种方法CAD必须要掌握的快速画图技巧，提高画图效率,39,2,0,0,0,结构化面试技巧分享——开口秘籍     结构化吗面试｜事业单位面试｜公务员面试,653,22,2,2,6,一招找回VX过期文件,7389,747,67,61,488,表格E+显示的恢复方法，一步搞定，简单实用,1038,29,1,4,20,第8堂课：基础篇 _ 快手做图，Word、PPT怎样与Excel联动？,55.0,3.0,1.0,1.0,1.0
5,excel小技巧：快速调整表格，升职加薪系列,69,1,0,0,0,39-技能特训（三十九）,47,1,0,0,4,非师范生自学一次上岸教师编，最实用的报考攻略，手把手教你轻松上岸教师编！,215,3,2,1,3,原画怎么入行？职业路径选择？练习的技巧？动画人的进击之路！【直播回放】,5201,842,104,15,375,给新手销售的五个建议,16136,795,257,69,702,【秋招攻略】老是错过秋招？不知道如何准备？全流程解析！助你高效准备秋招！,6391,151,51,42,156,一个策略，让ChatGPT翻译能力提升100%，超越专业译者,16365,1576,821,167,841,#Excel 一对多查询千万别vlookup， filter函数更快#excel操作技巧 #Excel函数,10200,1048,67,108,631,有心计的人是如何套别人话的，烟酒店老板这招绝了，让我受教了。#商业思维 #职场那些事 #说话技巧 #套话万能公式 #干货分享,5779.0,185.0,20.0,14.0,147.0
6,万人认可的魔法话术！如何回答“你还有什么想问的吗”24届I求职I面试技巧I面试有秘诀I面经I面试,33,1,0,0,2,高情商说话技巧,7744,141,7,0,651,一朝顿悟，稿费年入20w+，顿悟技巧篇（一）,39038,3482,397,89,1655,[Excel教程] 合并单元格的分组计数与求和技巧,969,48,7,0,21,10句高情商回话让所有人都喜欢你,8749,410,11,47,176,考官：看到这样的面试表现，二话不说，直接过！！|事业编面试,11153,74,6,8,61,三不限事业编有多难？那些从200:1、400:1、到800:1的艰难岁月,393,2,0,2,6,千篇一律的面试试讲......考官也很苦恼！！,23724,312,20,31,178,【护研社】临床护理沟通： 道歉、拒绝与化解矛盾,445.0,23.0,2.0,14.0,9.0
7,分享5招PPT汇报技巧，最后一个要牢记！,2549,107,19,15,114,销售技巧｜当客户拒绝你时，他的意思是。。,18429,1175,127,117,681,Excel精选动态可视化看板，一个案例轻松教会你如何用透视表搭建联动可视化看板2,3661,429,45,24,119,写小说干货分享：不会写简介的看过来！,1510,180,20,6,137,背部手法  ( 背部几条线按顺序操作，先浅层再中层再深层肌肉松解)  -伍玉文,1218,32,4,5,15,超干货！对谈美团副总裁👓职场人怎么get快速学习能力、访谈演讲能力！如何快速学习新知识领域！收藏反复使用！,27905,2078,763,160,1581,《涨粉秘籍》抖音24小时涨粉2000技巧，抖音暴力起号实操教程分享，让你的账号快速涨粉变现，特别是新手小白，一定要知道的技巧！,109,13,9,1,8,管理者总是浪费时间盯细节，怎么办？,79886,2102,564,781,2316,word段落排版技巧,15.0,1.0,0.0,0.0,0.0
8,#办公技巧 员工的迟到时间计算方法来咯！！！！#office办公技巧 #0基础学电脑,13272,66,0,3,139,把国外视频搬运到今日头条，三个月涨粉52万赚了45W！手把手教你操作！,180,15,4,4,13,24国省考必看判断推理刷题册---专项刷题才更有针对性,321,31,6,0,12,销售聊天法则（二十）,3,2,0,0,0,程序员面试:  4个最常犯的致命错误（以及如何避免）,9858,298,150,33,463,拼多多成功率百分之99防比价实操技巧,252,10,0,8,12,基层管理者管理工具箱（87P PPT）,19921,2523,436,200,893,干货攻略分享‖ 实习律师必备的工具书+工作技巧 ，今天又是一个合格的打工“工具人”呢~,8700,1205,477,47,623,零工作经验的程序员如何包装项目？,3729.0,155.0,53.0,17.0,86.0
9,员工被迫离职的五大维权技巧！,3832431,137097,9495,4396,269064,CAD技巧打开图纸歪了怎么办,96817,867,50,29,1596,无论营销路上用了什么手段，都不重要，只要有好的结果就可以 #销售 #销售思维 #销售技巧,842,6,0,0,15,原来半导体外企也很多，薪资高要求不高，视频内附招聘渠道,36375,1359,183,172,639,考科一有窍门，2250道题，死记1个字，大文盲也能考99分！#科目一科目四理论技巧辅导 #考驾照 #科目一考试技巧讲解 #学车考驾照 #科一科四理,192183,10049,1403,2292,9709,Excel中自动生成超链接目录，点击即可跳转到相应的表格和位置,891,111,3,8,29,售前工程师工作技巧,1608,101,10,3,27,两列位置互换#excel #办公软件技巧 #office办公技巧,162,3,0,0,1,训练好口才# 第32篇 #与客户做好情感沟通,100.0,2.0,0.0,0.0,1.0
