,title,view,favorite,coin,share,like
0,年底了还没offer，千万别等春招，做好这6件事,33826,512,161,85,733
1,【入职必问清单】确认offer和入职前，必须问清楚这五大问题！应届生｜校园招聘｜实习｜23届｜24届｜求职｜招聘｜面试｜offer,1735,83,9,9,45
2,事业单位面试遇到不会的题，要及时开启临场发挥，小心成为廉价炮灰！,224,5,0,1,6
3,考公人想备考过渡工作，千万别去boss直骗找。五类超适合应届生过渡的工作！千万别错过！！！！！,25341,745,66,130,481
4,办公高手面试都如此内卷？,1290355,55092,5038,1780,54380
5,都决定要进外贸行业了，但是如何选择一家靠谱的外贸公司呢？？,245,4,0,0,5
6,四大之间有不同吗？Offer应该怎么选？,2048,22,21,3,57
7,入行就后悔！这种骗人的新媒体运营岗千万别去,755,22,0,0,16
8,《企业名称登记管理规定实施办法》视频解读,3,1,0,0,1
9,这种简历，HR一看就知道你不行！这这这，写的啥呀？,81882,3715,235,138,3016
10,面试开口第一句话，考官已经心里有数了,64235,1214,104,123,967
11,12.5 国企秋招大面积扩招了,10817,241,184,21,455
12,超级简历公司用一天抄袭我所有的资料引流卖课,1855,27,84,3,116
13,21. 要是 #面试 把你的 #简历 扔进 #垃圾桶 ，你会怎么办？,424134,184,52,22,10442
14,我敢说，三方协议劳动合同这些坑你根本不知道！！,23151,1873,202,152,2076
15,“你还有什么问题要问我的？”千万别说“我没有问题！”,636,37,4,0,20
16,年底不靠谱的HR也开始冲业绩了，千万小心！,14468,259,22,64,503
17,努力与成长，投入与回报，反人性底层逻辑,1557,32,7,4,67
18,你找工作屡屡碰壁，别人却很轻松？快来看看怎么回事吧！,38,2,0,0,0
19,如果你失业来了，记住这5个自由职业平台不用上班也能月入过万,120,4,0,0,2
20,【面试】领导嫌我这个本科生能力不如专科生，该怎么办？,4434,74,25,19,274
21,想离职又很犹豫？500强高管告诉你，判断是否该离职的三步法！,20887,589,154,229,1081
22,离职原因：有，且只有一个,43006,534,183,87,807
23,海外职场生存日记之被白人宫斗创飞的瞬间,12743,215,227,62,847
24,盘点这一年面试的电商中层管理者，三个案例看出人与人之间的差别,4646,172,34,18,100
25,java简历这么写，二本也能进大厂。简历技术栈，简历项目【更新中】,1856,120,22,9,36
26,想找一个好工作，千万注意别掉进这3个思维陷阱！,181,5,0,0,6
27,工作能力强，是有技巧的,10120,782,43,43,790
28,【面试技巧】让面试官少动脑，ta才会对你多动心！,11526,697,332,88,724
29,原来大家都是这样进外企的,123600,9482,428,230,11144
30,公务员人情世故真的重要吗,3683599,57601,9390,13457,294636
31,外企面试：说服喜欢踢足球的同学去打篮球,5176,28,15,7,303
32,保姆级背调攻略：查什么？怎么通过？,1329,50,0,3,24
33,面试千万别说不会，可以学,7795,124,4,4,245
34,普通人没有一技之长，怎么找到高薪岗位,1003,55,8,3,39
35,胆子越大，offer越多,29294,1101,140,152,1762
36,面试如何解释很久的空窗期？,1572,66,5,1,33
37,普通二本从零开始写简历系列，怎么快速表达能力,54043,3988,667,135,4394
38,求职教练教你 HR是否真的在招人,172,2,0,0,1
39,20年前毕业的医学生，真实的工作和生活现状，不愧是大后期专业,103376,317,79,202,1996
40,关苏哲·用提问30讲激发团队高绩效,212,3,0,0,0
41,真人版man姐领导｜刚毕业的人，如何识别PUA？,2417,66,21,15,252
42,「品牌营销方案」万能模版！市场部新人必看，6年经验手把手教学｜市场分析+目标制定+营销策略+传播节奏+预算分配,10474,1010,214,104,464
43,职场领导：坚决不招北大的，太懒了！,16744,385,447,64,1475
44,20分钟打通你的面试“任督二脉”,14324,1748,298,156,732
45,频繁跳槽，面试真的会被嫌弃,28197,304,34,21,2455
46,UE5武侠游戏动作展示（2023）,5328,117,28,14,94
47,离职后二战考研，上岸清华建筑系，却也羡慕同龄人的家庭生活,2339,27,15,6,35
48,简历里面加上这句话，瞬间提升逼格，让你的前端简历与众不同，脱颖而出,895,25,6,1,16
49,对事业单位一无所知，要怎么准备事业编考试？,16083,354,49,63,250
50,什么？？淘汰率高达80%，军队文职面试有多难呢？,124,3,0,3,4
51,面完要不要主动问结果？,2963,83,9,6,96
52,电商人の所有结局【内附】求职路径规划,2598,93,78,27,148
53,不同行业毕业生值多少钱？香港+大湾区招聘会实录！公务员竟然这么香？！,22217,286,125,139,679
54,大学拿下这3个证书。毕业求职轻松躺赢～,1192,59,0,1,23
55,我终于找到工作啦！,19389,508,62,24,332
56,欧莱雅创变实验室第三季 | 第六课：消费者体验,856,5,0,5,12
57,为什么职场不允许低级错误,2674,52,16,3,115
58,7个一定要在入职前问清楚的问题 不要等入职了才发现被坑,2635,255,12,5,222
59,进国央企其实很简单……,15359,556,43,65,179
60,学会“若即若离法”，妈妈再也不用担心我找工作时被挖坑了,369457,24280,1549,342,23769
61,结构化表达为什么很难学会？,180000,16137,2691,1033,8726
62,就业方向大数据：大家的平均工资多少呢？盘点16个行业平均工资,8197,237,93,94,287
63,盘点招聘打假名场面，面试时记得多问多观察，避免踩坑,2539743,10611,610,181,4577
64,应届毕业生该怎么找工作？,321,5,2,1,10
65,我发现，在职场能占大便宜的人，都会…,276835,20503,1683,746,24129
66,其实国企工作挺好找的,1667939,114611,19429,15588,49394
67,【建议收藏】应届生一定要了解的事,114,7,4,2,5
68,毕业后第一份工作和前几年积累什么最重要,135996,7936,1937,1067,4755
