,title,view,favorite,coin,share,like
0,【身份重新编程文档】最全面的身份转换shift指南（视频虽长但有用）,1278,163,25,11,79
1,【安卓开发进阶】Android面试简历指导，如何让面试官眼前一亮,35,4,2,0,2
2,简历里面加上这句话，瞬间提升逼格，让你的前端简历与众不同，脱颖而出,895,25,6,1,16
3,作为程序员如何用一句话噎死产品经理，你们技术要有你们怼人一半的实力就好了,401309,787,217,207,14186
4,程序员学习路线图，年薪五毛不是梦。,81727,5773,1342,347,3946
5,程序媛面试欧洲软件公司全过程,63670,778,150,173,829
6,连线重庆欧立腾：在法资外企工作是一种什么样的体验？,386,1,0,4,2
7,在腾讯工作10年的程序员薪资有多少？有技术其实真的很好,54102,96,25,221,1293
8,前端面试官：你说说你凭什么值这个价❓❓,322,10,6,2,8
9,求职招聘系统,41,1,2,0,1
10,Full-Stack Blog App Tutorial | Next.js MongoDB Blog App Project Full Course,40,4,0,0,1
11,计算机普本应届生面试6家公司，拿到5个offer，都因为简历上有它......,207,1,0,1,3
12,现在的小孩真的好厉害，初中就能写这么好的win12开源项目了，自愧不如,41311,180,14,26,614
13,001【0.序】ASP.NET Core Web API 入門教學(0_1) - 序,542,34,3,1,13
14,测试一下自己适不适合做程序员 ？,9166,98,33,23,315
15,双非二本拿下阿里、百度、美团、滴滴等大厂offer,41078,844,219,156,680
16,一周带你刷穿力扣 课程使用指南,1143,91,32,61,39
17,入行java一年换四家公司，叒跳槽了，简历分享，面试情况分享，博客,7729,216,19,18,108
18,自学编程的通病都有哪些,51555,362,31,18,1107
19,作为面试官我如何看，离职原因与项目亮点，P6-的理由,14055,353,188,44,541
20,1041 [redis] 李兴华 Redis开发实战 2023年,499,13,0,1,5
21,99年程序媛 | 我把老板一jio给蹬了之后…,235,1,2,1,4
22,前端要树形数据，分分钟丢给他,5788,238,31,15,123
23,一个为了转项目经理，在职备考软考的程序员的自述......,8525,99,12,11,78
24,Python爬虫js逆向 cookie反爬和验证码识别,731,46,8,4,10
25,程序员必看的七大排序算法,122936,2391,173,98,7136
26,【Git第一讲】：git分区与两个盒子的故事,1872,67,57,1,75
27,Java岗就业，需要哪些企业级技术储备？-马士兵,15445,1516,104,506,772
28,新西兰程序员的工资是多少钱？996吗？卷不卷？加拿大、澳大利亚呢？,117164,855,900,501,3164
29,《MySQL是怎样运行的》领读【Part1】-初识MySQL、字符集,1152,82,25,7,45
30,国内烂大街的Java程序员正在席卷日本！为什么日本那么缺Java程序员？,1223,11,2,1,21
