,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like,title,view,favorite,coin,share,like
0,Quant劝退！量化金融分析师真的人均年薪百万？就业前景大好？,2348,22,3,13,33,考完CFA再考这些证，就像砍瓜切菜！教你轻松一备多考，一举拿下多张金融证书，成为考证达人！,341,11,3,0,13,有机会接触大佬，该怎么跟他们打交道？聊点什么？怎么表现？掌握这几个窍门……,32047,2418,280,97,2067,职业规划的终点：以提升可迁移能力为主线,25395,2802,335,275,1743,机械系大学生完整就业规划（二十讲之一），机械设计制造及自动化，机械电子工程，车辆工程，材料成型及控制工程，过程装备与控制工程等等，一网打尽,32217.0,2328.0,421.0,151.0,1154.0
1,性格内向干金融前台更适合选哪类职业？,2328,48,6,10,71,面试被问到职业规划 到底应该怎么回答,1311,67,8,4,57,求职防坑指南：入职前必须问清这6个问题！,33762,2663,244,276,1881,总助董助在公司里的角色定位？需要协助老板完成哪些工作？,253,3,2,1,1,💯最需要进行职业咨询的10种情况,4.0,1.0,0.0,0.0,0.0
2,想离职又很犹豫？500强高管告诉你，判断是否该离职的三步法！,20880,588,154,229,1081,裸辞两年后，我过得怎么样？|全职up&自由职业的真实状态,14329,238,395,25,834,面试被问你的职业规划是什么，满分模板好赶紧收藏！！,1656,95,0,3,48,中专生逆袭211，40岁失业的满级打工人：厨师、物流管理、瑜伽舞蹈……无缝切换,29446,691,85,46,874,应届毕业生就业现状：死在转正之前,113625.0,474.0,59.0,175.0,1619.0
3,量化金融🔥普通人如何快速入门量化？,386,11,0,1,8,工控狗的出路在哪里？建议想入坑，及35岁以上的工控工程师好好看看,15513,267,74,65,356,从字节裸辞 200 天，我想明白了三件事,23006,378,238,73,562,你为什么来日本？赴日十多年后看看自己当年的规划实现了多少,13197,249,87,14,406,给新会计朋友一个5年职业规划建议,6607.0,256.0,34.0,23.0,151.0
4,5000块一场的活动花絮，信息流的方式给自己做了一部纪录片,5440,55,188,26,330,华为AI产品经理实战课程（36讲），从0开始构建AI产品经理入门知识体系,11045,128,4,61,226,35岁才发现，打工根本没有意义,359950,6131,2153,2774,8057,对谈97年赚钱狂魔徐皓天,1548764,78029,35308,31822,73315,【全英】从护士到英语老师设计师，换了3个行业5份工作后悔没有早点知道的事,1289.0,89.0,23.0,5.0,77.0
5,职场上的积累对商业几乎是毫无帮助的,72455,4176,909,792,2239,游戏策划的游戏池该是什么样？面试被问到玩过什么游戏该怎么答？,12221,406,58,29,177,「哭了，清华浙大都白读了！」,916,19,18,1,30,1560份问卷，告诉你职业剪辑真实薪资水平！ | 全国数据总览、各省份数据分析、职业规划、求职避坑。,102104,5184,3442,1208,4756,当HR说“这个期望薪资给不了”，转败为胜这样回,14023.0,347.0,18.0,43.0,298.0
6,《我的大学5年》，从大三留级，到考研一战上岸211财经大学,27239,247,55,42,1417,“工作之余可以做什么兼职增加收入”,12295,329,55,19,299,上级领导让我给全区1000位新教师录个视频～说点什么呢～,104117,1657,969,410,5934,女生考公上岸前后：相亲对象档次明显提升,14422,52,10,38,79,,,,,,
7,CPA注会哪一门最难？难在哪？我该怎么办？,7375,70,39,13,148,产品经理面试3状态+18步骤,354,23,4,8,7,废话假大空？职业规划万能回答公式！HR总监教你怎么答,13776,873,164,67,582,赚钱的方法,287,10,0,0,7,,,,,,
8,经历三次转行成为塔罗师，我终于找到了自己的价值 | 和100位女性聊天&CC（上）,3879,92,42,29,166,GaryVee：做自己擅长且喜欢的事，以此作为事业/职业以及人生规划,293,12,0,2,8,【聊聊~】当下法律市场和法学生职业规划,3372,172,92,15,162,从药企研究员转行到半导体材料工程师，我后悔了！三个月心路历程,8255,50,13,12,113,,,,,,
9,热门行业一定好吗？3步找到你的职业风口,5681,248,88,23,253,现在还有必要读博吗？计算机相关专业博士毕业工资揭秘！,251,5,0,0,4,工作Q&A  裸辞？离职原因？下一步？职业规划？,40687,1338,576,1362,1065,跟着大佬学职业规划，少走5年弯路,5406,364,32,57,345,,,,,,
10,【直播领学001】【职业规划大赛】“苏州有礼”平面插画设计师,160,7,0,1,4,学生思维毁职场，看看你中了几条,50863,1557,361,164,2514,博士4年学术圈10年才领悟的道理，我希望你现在就知道,17743,484,104,73,433,胆子越大，offer越多！找工作、跳槽都需要站在终局来看！,3209,212,25,17,267,,,,,,
11,职业规划大赛 成长赛道核心讲解（比赛重点、政策导向）,46565,1933,431,767,1645,你怎么看高材生入基层工作？你的职业规划是什么？,497,6,2,0,8,外企英文面试问题解答十六 工作中遇到的困难 全英,15,1,2,0,7,我不去搬砖了，居家挑战第四天,4,1,0,0,3,,,,,,
12,2023年最有发展前景的8个行业,8933,131,4,17,144,"211毕业五年,大厂裸辞半年,我不打算回去上班了 | 28岁,我终于找到了人生方向",180033,5293,3996,3198,7378,infp适合的7个自由职业,1730,50,10,3,113,高薪外资投行简历过不过的根本：看你怎么投递！,1765,129,6,2,187,,,,,,
13,现在网上流传的 35 岁很多人会失业，究竟是危言耸听，还是真实存在的？,47086,222,58,54,942,计算机专业考公 进入单位当网管吗？,4476,42,0,12,135,空窗期久没人要到底该怎么找工作，学会这三招拿下高薪offer！,10180,521,35,23,218,如果你真的讨厌上班，可以看看这个。,13271,819,41,63,662,,,,,,
