,title,view,favorite,coin,share,like
0,如何快速就业，还没找到工作的快试试这个方法,60637,2742,252,232,2001
1,体制内到底业务科室好还是行政办公室好？,1167,18,2,4,34
2,数据产品经理的工作职责是什么？,1278,98,18,11,38
3,狠人被开除，把领导搞下岗了。#干货分享 #职场 #经验分享#人性 #领导思维,17207,78,7,13,175
4,内卷并不可怕，信息闭塞真的很致命！如果你正在备考公务员，一定要趁早打破信息差！,89799,13634,1607,931,4969
5,手写签名秒转电子签名,2823,128,13,20,184
6,“从国防七子毕业后”，北京985院校，5个理工男，毕业8年后,114577,418,151,254,3145
7,7个一定要在入职前问清楚的问题 不要等入职了才发现被坑,2635,255,12,5,222
8,超级聊天术——让你跟谁都能聊得来！,46748,7643,639,228,2106
9,如果我在20多岁，就明白这10个生存法则～,198655,10444,5229,1686,11400
10,防止被别人套话的三个方法，超级有用,2481097,123787,18191,11994,130216
11,【入职必问清单】确认offer和入职前，必须问清楚这五大问题！应届生｜校园招聘｜实习｜23届｜24届｜求职｜招聘｜面试｜offer,1735,83,9,9,45
12,如何毁掉一个年轻人：听劝,246483,9659,5520,1786,19617
13,【聊聊~】当下法律市场和法学生职业规划,3373,173,92,15,162
14,职场套话如何回应？四绝招助你反杀,16979,1617,82,95,1277
15,体制内领导逼你签不该签的字怎么办？,18169,175,13,48,497
16,县委书记之间都是怎么谈话的，背后的暗语你能听懂几句,61292,156,61,12,1599
17,PPT目录页这样做太绝了,22451,2274,118,172,1286
18,说话不说“然后”，还能说什么？,167673,10748,1364,547,12803
19,心机 | 如何“主动”才算是有效向上社交？,519063,58193,7714,2952,72813
20,被领导打压后千万不要犯这两个错误操作。,752,19,0,2,31
21,短剧推广免费授权，保姆级教程！,389,33,12,13,26
22,《洞察人性》  阿德勒经典心理学 （全41P）,7868,1379,45,91,283
23,打工收入的误区,953,13,2,2,38
24,替大家试过了，这样做公开汇报真能拿高分！【旁门左道PPT】,162580,10262,3067,534,8455
25,很多人和我说毕业要积累若干年，赚钱需要资金，我真的笑了,30945,1035,372,168,957
26,教你一个拒绝别人的万能方法,24452,629,11,19,2198
27,上班正确摸鱼的五大快捷键！,948082,18646,651,676,21159
28,人生开挂的三个技能，你有几个？#唐晓婷 #职场干货,2062,125,4,23,151
29,【100个办公神技-34】离职才知道，这个工具太好用了🔥薪资✖️2,5034,773,55,107,422
30,为什么没人找你做私活,1073,23,7,2,27
31,教你痕迹识人，拿捏情感+职场！,30009,876,89,137,2142
32,权谋大师：刘邦留下的稳定的组织结构谋略！,204,6,0,0,4
33,我希望每个上班的人都明白,1368580,72168,46473,14179,132051
34,四大之间有不同吗？Offer应该怎么选？,2048,22,21,3,57
35,如果我真的很想要呢？,36134,1151,343,113,3363
36,格力之虎的 PPT 该如何做，让我来教你！,133405,2512,726,458,3783
37,牛人都懂的道理，心无所住，见种种色,8652,291,31,19,794
38,入行就后悔！这种骗人的新媒体运营岗千万别去,755,22,0,0,16
39,高情商拒绝，4招不被拿捏！,794568,59648,12527,8966,71483
40,上岸三年过来人忠告：离开体制内？你再想想吧！,27339,225,133,26,538
41,【新闻女王】跟着诗晴学面试，许诗晴步步高升的原因！,2399,28,15,5,70
42,学会“若即若离法”，妈妈再也不用担心我找工作时被挖坑了,369457,24280,1549,342,23769
43,Excel里的黄金组合: Vlookup+Match函数，实现一对多精准查找,126378,9586,1317,743,4984
44,入职前的”反向背调“,21031,947,77,77,814
45,燃动全场！这4种PPT结尾页真的能让领导眼前一亮,19941,571,114,24,643
46,不愧是国家出品，免费又靠谱的9大公考app，简直就是考公人的灵魂伴侣....,1082,103,14,55,158
47,如何改观“毕业就失业”,968,35,40,5,73
48,职场老黄牛的负重前行，换来了王自如等人的岁月静好,31798,230,185,104,2259
49,胆子越大，offer越多！找工作、跳槽都需要站在终局来看！,3210,212,25,17,267
50,如何把话说清楚？,64929,545,50,83,1653
51,你可以没心机，但需要有城府,217,7,4,0,9
52,一分钟看完大厂常用术语,157,3,2,3,6
53,升职加薪必学的办公技巧！,5763,52,2,6,90
54,河南乡镇公务员，月薪3000，早6晚11，恐怖如斯,83043,280,158,987,2237
55,一张图片一段文字美化高级感,5852,763,54,35,334
56,一张图片一段文字美化高级感,5852,763,54,35,334
57,帮了别人，别指望他感谢你，一定要让他觉得他欠了你,94590,5884,840,465,6592
58,敏捷项目管理实战案例,473,17,0,1,4
59,遇到刺头员工怎么办?,345,10,4,1,7
60,体验去美团上班一天，产品经理也要亲自送菜?,1606251,9209,10234,8493,68096
61,从零开始的AI商业技能必修课《营销+AI落地实践之设计篇》,77,1,0,0,1
62,领导问你忙不忙，不同情商反应,42492,336,23,54,6493
63,加入陆哥团队的符合什么条件。,13860,201,19,5,765
64,对领导说的话，要脱敏再听！,1196,21,5,0,38
65,高情商｜普通的我如何通过开会成就自我,134611,4530,159,83,6763
66,销售案例：客户迟迟不成交，怎么继续跟进？,479,8,0,2,5
67,领导绝不会告诉你的六件事！,4269,322,20,26,281
68,苦是人生的常态，但不要变成你人生的终态,13581,360,137,99,983
69,在职场敢跟领导吵架的员工他们哪来的底气,15377,81,4,18,182
70,假如财务在预算ko上都说真话,913,34,9,6,44
71,一个普通人克服紧张感成为表达高手的笨方法（上）,1132474,99088,21316,8963,77256
72,4份工作被裁3次，副业收入是主业两倍，但她还是想做打工人!,101405,1913,562,316,2412
73,性格内向干金融前台更适合选哪类职业？,2328,48,6,10,71
74,在麦肯锡两次被内部举报，我差点丢掉工作 | McKinsey | 华人 | 北美求职 | 咨询行业 | 同胞,28241,325,25,61,356
75,我的天！PPT里加几个色块这么好看！,8532,513,66,22,286
76,后悔25岁前没明白的6个人生真相，关于工作、健康、亲情、心理和自我成长。,92742,2733,1489,275,3512
77,年薪$180K的神仙远程工作|不上班在家搞💰,10372,801,91,118,400
78,Excel大神都在用的6个技巧，最后一个超实用！,2488,107,21,11,117
79,你会用这三个查找函数解决一对多数据查找的问题吗？,1507,189,13,25,100
80,领导回复“好的”，你还会继续发消息吗？,88613,3076,136,128,4838
81,快速在表格内打勾打叉,1220,41,0,0,29
