,title,view,favorite,coin,share,like
0,军队文职面试不知道说啥？看张雪峰怎么说!,731,8,4,3,10
1,你跳槽或者行业，本质上是一个坑到另外一个坑,18760,280,86,81,389
2,职场小白面试谈薪一定要避的坑！,896092,49894,2948,1226,75922
3,【教师岗面试】高校教师如何做到为人师表?,3253,120,71,17,101
4,【公务员面试真实考试】第一名和最后一名，差距有多大！,52672,2596,413,224,1130
5,入行就后悔！这种骗人的新媒体运营岗千万别去,755,22,0,0,16
6,这种简历，HR一看就知道你不行！这这这，写的啥呀？,81882,3715,235,138,3016
7,面试开口第一句话，考官已经心里有数了,64235,1214,104,123,967
8,【新闻女王】跟着诗晴学面试，许诗晴步步高升的原因！,2399,28,15,5,70
9,考官：看到这样的面试表现，二话不说，直接过！！|事业编面试,11160,74,6,8,61
10,【真题68】意识形态工作怎么看？【公务员面试-公考面试】,16312,247,173,46,396
11,一分钟看完大厂常用术语,157,3,2,3,6
12,面试88.2分全场第一，我悟了，这才是事考面试的底层逻辑啊！一定要比对手早看到！,13594,479,58,47,256
13,“你还有什么问题要问我的？”千万别说“我没有问题！”,636,37,4,0,20
14,一个普通人克服紧张感成为表达高手的笨方法（上）,1132474,99088,21316,8963,77256
15,量化面试可能会忽略的点,2163,111,41,12,52
16,年底不靠谱的HR也开始冲业绩了，千万小心！,14468,259,22,64,503
17,你找工作屡屡碰壁，别人却很轻松？快来看看怎么回事吧！,38,2,0,0,0
18,结构化面试——综合分析,2451,84,4,1,81
19,组织一个“寻找最美家庭”的评选活动,1341,48,2,6,42
20,【面试】领导嫌我这个本科生能力不如专科生，该怎么办？,4434,74,25,19,274
21,离职原因：有，且只有一个,43006,534,183,87,807
22,入职数据分析师岗要经历的那几关！,2045,84,9,8,37
23,盘点这一年面试的电商中层管理者，三个案例看出人与人之间的差别,4646,172,34,18,100
24,24年公务员/事业编面试：狂背素材【万能话术+答题模板】背会直接套用,282,9,0,1,2
25,java简历这么写，二本也能进大厂。简历技术栈，简历项目【更新中】,1856,120,22,9,36
26,结构化面试高分技巧分享，开头怎么回答能一下子吸引考官目光,4776,126,7,8,217
27,【结构化面试/模拟题】共享按摩椅在公共场所“遍地开花”，对此你怎么看？,97,4,0,0,1
28,面试谈薪被HR压价？4个话术，薪资多拿2k！,6476,444,16,32,382
29,教师编第一！！！噫！我考上了！！！非师范生笨鸟先飞全纪录！,7313,166,12,8,123
30,应急应变题|全流程答题框架|高分示范答题|公务员事业编面试,935,58,9,7,41
31,【面试技巧】让面试官少动脑，ta才会对你多动心！,11526,697,332,88,724
32,今年山东省面备考时长很离谱，主打一个极端,4967,46,32,17,77
33,外企面试：说服喜欢踢足球的同学去打篮球,5176,28,15,7,303
34,【大佬】玻璃心不要看！双非及以下去哪里找工作？,45747,2805,332,315,2752
35,字节AI产品经理压力面试，看看你能坚持到几秒,1651,57,2,5,14
36,面试千万别说不会，可以学,7795,124,4,4,245
37,普通人没有一技之长，怎么找到高薪岗位,1003,55,8,3,39
38,提离职被加薪挽留，要不要走,268257,3288,353,452,17169
39,面试如何解释很久的空窗期？,1572,66,5,1,33
40,求职教练教你 HR是否真的在招人,172,2,0,0,1
41,2023年十大热词“搭子”，年轻人搭着吃饭，搭着考研，搭着旅游…,1004,5,2,2,13
42,神仙打架！！！湖北省公开选拔领导干部无领导小组讨论考试全过程解析（24年广东省考/选调/深圳市考复习必备）,206345,9319,1251,1285,3231
43,【安卓开发进阶】Android面试简历指导，如何让面试官眼前一亮,35,4,2,0,2
44,【自动化测试练手项目推荐】我真希望学软件测试之前，就知道这些该多好，流下了没有技术的眼泪！,55430,2783,813,375,1016
45,四措并举 让你有话说 不紧张 快速取得面试高分,1846,86,12,9,80
46,人民日报 新华时评 青年报等多次发文！你的分析还只是“辩证理性”？,4182,214,61,26,258
47,20分钟打通你的面试“任督二脉”,14324,1748,298,156,732
48,想做点有价值的事,543654,19054,1427,353,67720
49,频繁跳槽，面试真的会被嫌弃,28197,304,34,21,2455
50,面试87+分的详细备考计划｜从0开始保姆级面试备考计划,4141,245,57,7,142
51,简历里面加上这句话，瞬间提升逼格，让你的前端简历与众不同，脱颖而出,895,25,6,1,16
52,什么？？淘汰率高达80%，军队文职面试有多难呢？,124,3,0,3,4
53,教师编通过的下午，仔细回想了一下发现，我能教师编面试第一是有原因的,24837,990,55,90,570
54,即将国考面试的伙伴请立刻点进来看！这是你面试必看的经验贴！,222,3,0,0,4
55,面完要不要主动问结果？,2963,83,9,6,96
56,【面试押题-分级诊疗】23年医疗结构化面试（卫生健康系统事业单位招聘面试）,21659,470,92,82,399
57,不同行业毕业生值多少钱？香港+大湾区招聘会实录！公务员竟然这么香？！,22217,286,125,139,679
58,读书遭大罪！考研、考公、考编、考军队文职，没有一件是不遭罪的。,112,1,0,2,3
59,我终于找到工作啦！,19389,508,62,24,332
60,Day1：全貌了解招聘【HR老谢21天特训营】,1312,80,6,8,38
61,考公人必学：新时代的枫桥经验,1250,26,10,2,34
62,2023年秋招现场-普本人力资源/金融专业真实求职现状....,6501,60,37,9,267
63,一面 二面 三面 到底都在面些什么啊,4185,246,3,13,323
64,盘点招聘打假名场面，面试时记得多问多观察，避免踩坑,2539743,10611,610,181,4577
65,【面试攻略篇1】如何成为全场第一？面试简介&个人经验,1339,46,30,4,38
66,什么样的跳槽理由老板会听,150,2,2,0,6
67,2024军队文职人员招考模拟面试现场（17）——文职入职后你想考研继续深造，单位不同意，你怎么办,5607,123,13,18,197
68,用上ChatGPT后，外企找工作效率提高10倍,4121,665,71,86,287
69,千万别只盯着招聘网站！国家出手帮你找工作了！,525,25,3,0,16
70,胆子越大，offer越多！找工作、跳槽都需要站在终局来看！,3210,212,25,17,267
71,社区工作者面试话题：私搭乱建,351,6,4,4,10
72,拿到offer赶紧问，没弄清楚千万别急着入职   校园招聘｜找工作｜求职｜应届生｜offer｜避坑｜面试｜24届,5366,268,28,11,122
73,讲真的12月你们还有投秋招的吗,118,3,0,0,2
74,国际中文教师证面试｜可能补语试讲示范,3788,136,12,43,53
75,万人认可的魔法话术！如何回答“你还有什么想问的吗”24届I求职I面试技巧I面试有秘诀I面经I面试,33,1,0,0,2
76,现现在正式丰富简历的最佳时机,16815,728,700,21,1258
77,那次替领导去市里开会，我打开了新世界的大门,152888,311,17,73,3029
78,国省考申论这两年爱考啥话题？基层治理、民生保障、乡村振兴基本上年年考。今天我给大家准备了8条高分标题，记得点赞收藏做好笔记~,2784,157,9,18,95
79,逼自己3小时掌握自动化测试，存下吧，找工作很有用！,6420,334,33,1004,32
80,【公务员面试】热点预测：四下基层—第二批主题教育重要抓手（事业单位面试、2024国考、2024四川省考、选调生面试、浙江省考面试、江苏省考面试、山东省考面试）,11130,529,276,109,515
81,教师编面试第一竟然卡在了体检上，心态一整个大崩溃！！！,24271,92,2,17,106
82,找工作别只在boss了，快来看看,60943,7046,893,729,3947
83,【一坤年Java】被问到的面试问题,118,10,0,0,3
84,HR:请问您多久能入职？这样回答锁定offer！,11125,141,11,8,232
85,最实在的大龄考公经验分享（申论+面试）,46900,6974,980,382,2680
86,企业高管的一天都干嘛？别人家的领导长什么样？如何成为优秀的管理者,51864,4456,1282,727,2093
87,首次参加浙江省考面试88+经验/非常好用的面试素材及运用方法02,10017,1259,178,63,507
88,特区实力！深圳16个公务员、事业编工资汇总，年薪82万者，恐怖如斯！！！,101809,812,220,2059,2247
89,低学历小伙上台求职，竟能让各大企业纷纷抛出橄榄枝，#高情商#,75705,1233,136,42,10003
90,【公务员事业单位面试】典型真题：领导怒摔,2242,76,6,54,321
91,【律所真实面试经验分享】,4591,170,25,7,112
92,程序媛面试欧洲软件公司全过程,63670,778,150,173,829
93,教师编面试当了三次考官，发现有些考生真的可惜....,46242,1755,161,120,1052
94,【产品项目类问题】项目从0到1 搭建过程，你觉得最难的功能模块是什么？回答思路+话术|产品经理面试技巧,145,2,0,0,5
95,甘肃事业单位面试真题市场监管局90+示范答题,117,2,0,0,0
96,教招面试通过的6个秘诀!助你成功!教招面试和教资面试是不一样的哦，用教资面试的方法参加招聘可能会有问题,24476,866,160,279,1478
97,外贸面试✨轻松拿下理想中的offer✨,101,1,0,0,1
98,日本面试技巧（中日字幕） - 日本店员工作常用语,33954,1350,78,161,2050
99,99%的好工作都不在招聘网站，这3个渠道简直太香了!!,964,28,0,1,15
100,187秒高压|腾讯数据分析师模拟面试,2283,195,23,11,67
101,"35焦虑?太早了吧,兄弟...",104,1,0,0,3
102,卧底，唤醒记忆,216560,119,36,3,3945
103,招聘市场目前我认为是最乱套的市场！根本没有规范！,1799,19,10,3,153
104,公考面试：考官最反感#干货分享 #结构化面试 #每天学习一点点 #公考 #面试技巧,252,3,0,0,6
105,国央企面试100%会考的3类题型，收藏起来慢慢看！,1689,68,1,9,47
106,长点心吧，别让你到手的 Offer 飞了！,505,49,1,5,37
107,张雪峰，女孩更应该努力，不然你的另一半会很变态！,37875,1187,91,248,2385
108,面试成功的精髓其实就这3点，尤其适合没工作经验的应届生,5512,514,38,26,433
109,21. 要是 #面试 把你的 #简历 扔进 #垃圾桶 ，你会怎么办？,424134,184,52,22,10442
110,职场新人面试一定要避的坑！,321413,5601,224,171,18177
111,当你往公司账上打了1分钱，财务：？？？,45602,33,26,12,1757
