,title,author,description,play,favorites,mid,review,created_at,video_review,coins,duration,aid,bvid,pts,trend,vt,enable_vt,vt_display
0,从0到100万月售-亚马逊180步教程-和我的新店铺一起冲销量-跨境电商 平台 深圳 创业 赚钱 网赚 投资 amazon amz 牛津小马哥 美国 日本 广告,牛津小马哥,"纯原创，100%自己开店录制。坚持不易，记得三连。
微信：erik_bob，公众号：跨境小马哥
视频里面的工具全部都在：xmg180.com，（xmind脑图+亚马逊选品高阶教程在1kafei.com/xmg）
这个店铺我新开，从0冲击100万月售的业绩。",1729534,87391,2902147,5718,2021-02-28 20:04,10095,28046,45311,799442983,BV18y4y1a7iE,20466,0,0,0,
1,零基础新媒体运营入门课程,新媒体运营老司机,"新媒体运营零基础全套入门教程，帮助小白学员和转行学员深度学习
讲师VX：tangyuxmt",792486,58366,482982612,647,2021-05-14 19:11,8382,6769,51001,205582719,BV1wh411v7rb,12972,0,0,0,
2,冒死上传！零基础亚马逊运营课程合集，亚马逊跨境电商入门教程（纯干货，超详细！）,长空讲亚马逊,"大家好，我是长空~
视频纯原创制作录制，我会陆续更新
我会利用我多年运营亚马逊的经验，
给大家从0到精通的去讲解亚马逊运营知识，
内容只适合零基础，纯干货，超详细，无广告！
请大家多多一键三连支持我，礼貌观看~",466128,27918,1165817231,2589,2021-11-29 15:28,3545,6189,44918,934567515,BV1jM4y1w7Fj,9399,0,0,0,
3,【我居然3小时学会了短视频底层逻辑和涨粉技巧】来自全网粉丝1000W+实操博主亲授！让你快速入门，想做自媒体副业的千万不要错过~,运营自习室,"wanglou.com
内耗不如学习，你这个B……站用户，记得不要白嫖哦~
短视频底层逻辑方法论，亲授视频算法跟涨粉逻辑，让你三天学会短视频运营，全程干货输出！
开学了，你该起床学习了",47034,4212,1174764536,70,2022-09-02 19:00,194,398,16287,217565787,BV15a411V7o4,3447,0,0,0,
4,阿里巴巴国际站运营入门,寒冬到处走的一缕,"https://www.baidu.com/
本资源来源于网络，仅供学习交流使用，不会用于任何商业用途，如原作者认为侵权，请联系删除，感谢！",265531,15738,405266901,392,2021-01-22 11:36,2360,1343,29971,971301948,BV1tp4y1W7yN,3038,0,0,0,
5,电商运营基础全集,97的小姐姐,"最近刚修好之前放视频的电脑，目前更新最全版的视频和分段重新排序了，之前很多小伙伴私信有几集没全目前都已更新增加了，ppt文件也已找回可私信或者留言求链接（文字放不下了）
的其他干货视频
京东运营电商系列：BV1oE411i7VW
淘宝运营电商系列：BV1uE411v7C3
淘宝直通车运营视频：BV1EE411x7e8
零基础学运营：BV1ZJ41197Cx
公众号运营：BV1VJ411H7ZY
up混迹与自媒体品牌设计运营，欢迎各位小伙伴们找up交流学习～
觉得有帮助的话给个三连加关注哦！么么哒",1506004,99513,305496953,1607,2019-10-01 01:19,11046,6757,74678,69561106,BV1rE411X7F7,2937,0,0,0,
6,【拼多多无货源教程】新手做一件代发日出销500单，揭秘详细操作流程！,电商陈呈,【拼多多无货源运营教程】新手做一件代发日出销500单，揭秘详细操作流程！解答\/：910 222 152 有问必答！,176996,7682,1251287750,705,2021-09-28 21:53,901,824,2988,548361532,BV1fq4y1P7mo,2824,0,0,0,
7,运营小白速成｜8分钟搞懂运营工作（纯干货）,运营plus,以 “plus奶茶店” 的经营为例，如何用新媒体运营/用户运营/社群运营/活动运营/电商运营/渠道运营去把这家奶茶店做大做强呢？,171537,10220,1618982151,255,2022-12-08 09:59,67,2131,520,433518095,BV19G411T73m,2400,0,0,0,
8,【最新社群运营】20节课带你从入门到了解全体系私域/社群运营,Jason-阿段,20节课带你了解社群全体系运营！,19779,1791,26176082,59,2022-11-18 19:43,33,228,43321,305272782,BV1dP411g73U,2319,0,0,0,
9,新手做电商，建议这3大电商平台不要碰，下一个韭菜就是你,甜甜教你做电商,新手做电商，建议这3大电商平台不要碰，下一个韭菜就是你,90498,313,475639419,47,2021-05-30 16:24,2,13,45,888324430,BV1ZK4y1G7u3,1695,0,0,0,
