,pubdate,tag,duration,id,rank_score,badgepay,senddate,author,review,mid,is_union_video,rank_index,type,arcrank,play,rank_offset,description,video_review,is_pay,favorites,arcurl,bvid,title,vt,enable_vt,vt_display
0,2023-12-12 12:00:18,"工程,建筑,造价,建筑工程,工程造价",57,279628114,98516,False,1702415993,启程学苑-垚哥说工程,68,630674593,0,1,video,0,98516,61,,2,0,114,http://www.bilibili.com/video/av279628114,BV1dc411U7oJ,对拉螺栓工程量计算表！来一份！！,0,0,
1,2023-12-13 14:26:45,"00后,女大学生,创业,羞羞,大学生创业,Vlog,学生创业,工作vlog",14,452141922,98480,False,1702448805,李十一工作室,69,1475818632,0,2,video,0,98480,62,-,2,0,717,http://www.bilibili.com/video/av452141922,BV1rj411s7J3,00后女大学生创业卖羞羞vlog,0,0,
2,2023-12-12 17:38:28,"施工现场,土木工程,挖机,建筑工地,建筑工程,工程人",10,877226043,98437,False,1702427538,建工妞妞,59,3494368239421952,0,3,video,0,98437,63,,1,0,75,http://www.bilibili.com/video/av877226043,BV1gN4y1h7Rp,老板，你看我挖到啥了，我们要发财了... ...,0,0,
3,2023-12-11 18:03:18,"公务员考试,公务员,行测,经验分享,备考,上岸,申论,真题,省考,必考",210,964569262,96694,False,1702288998,今儿个努力i,194,454058544,0,4,video,0,96694,64,,103,0,148,http://www.bilibili.com/video/av964569262,BV1yH4y1k7kT,先是逢进必考，后又下架真题😣公考变天是早晚的事!上岸一定要趁早，备考一定要细致！,0,0,
4,2023-12-11 15:55:19,"公务员考试,上岸,省考",16,279544738,93459,False,1702281319,贵州东汇达教育,41,1283713370,0,5,video,0,93459,65,,1,0,139,http://www.bilibili.com/video/av279544738,BV1kc411U7Ny,一考一个不吱声的年代过去了，2024（划掉）2025我一定上岸,0,0,
5,2023-12-08 00:00:21,"人生,工作,健康,心理学,职场,亲情,公务员,人生真相,自我成长,生活的真相",550,749455880,92497,False,1702381564,一只羊咩咩1995,279,520381424,0,6,video,0,92497,66,-,206,0,2726,http://www.bilibili.com/video/av749455880,BV1xC4y1w7MU,后悔25岁前没明白的6个人生真相，关于工作、健康、亲情、心理和自我成长。,0,0,
6,2023-12-08 18:00:00,"人生,职场,找工作,求职,职业规划,高考志愿,大学专业,编程自学,选择大于努力,白纸编程",320,324469169,89606,False,1702038816,那些无名之辈,993,295347600,0,7,video,0,89606,67,-,189,0,1196,http://www.bilibili.com/video/av324469169,BV1gw41187cY,对于普通人来说，选了这些专业，便可以保证人生的下限!,0,0,
7,2023-12-13 20:37:06,"路由器,WiFi7,我的打工日记,百日招聘，就业集结令！",446,707199399,88240,False,1702471027,海南弱电小胡,791,519573253,0,8,video,0,88240,68,,568,0,442,http://www.bilibili.com/video/av707199399,BV1qQ4y1G71n,听说wifi7速度更快，粉丝就买来试一下,0,0,
8,2023-12-09 13:18:20,"职场,公务员考试,公务员,机构,行测,公考,省考,为人处事,编制,永恒万花筒佐助,火影手游八周年生日会",30,236891682,87579,False,1702099100,公务员干货,168,491307403,0,9,video,0,87579,69,-,12,0,417,http://www.bilibili.com/video/av236891682,BV1ee411o7UT,公考机构有可能被关停吗？#公务员#,0,0,
9,2023-12-10 12:00:00,"工作,北大,找工作,毕业生,北京大学,交大,小蝶,上海交通大学,实习,文科生",1340,749421888,86411,False,1702212145,小蝶今天吃饱了,484,38060523,0,10,video,0,86411,70,"拍摄&剪辑 by 小蝶

🍠：小蝶今天吃饱了

✂️ 剪辑: 
Final cut pro

📸 相机: 
Sony zv1

- 本视频不含推广",389,0,1581,http://www.bilibili.com/video/av749421888,BV1LC4y1w7qT,北大&交大毕业后，我过得怎么样？实习秋招工作收入感情｜文科女的生活现状,0,0,
